Month Year,LGA Region,Approved Sites,Operational Sites,Approved EGMs,Operational EGMs,Metered Win,Machine %,Win/machine,,,,,
Aug-12,CENTRAL HIGHLANDS,18,17,414,357,1674666.78,86.23188406,4690.943361,,,,,
Dec-16,IPSWICH,38,37,1866,1641,7697216.04,87.94212219,4690.564314,,,,,
Dec-07,BRISBANE,232,227,9146,8897,34760549.27,97.27749836,3906.996658,,,,,
Jan-18,CAIRNS,41,40,1943,1792,8403810.48,92.22851261,4689.626384,,,,,
Jan-07,GOLD COAST,137,132,5589,5377,19575432.96,96.20683485,3640.586379,,,,,
Feb-16,MORETON BAY,64,63,3503,3189,14945990.64,91.03625464,4686.732719,,,,,
Jan-08,BRISBANE,232,227,9146,8907,31819608.98,97.38683578,3572.42719,,,,,
Oct-04,MORETON BAY,63,63,2680,2585,12099028.17,96.45522388,4680.475114,,,,,
Aug-12,ROCKHAMPTON,40,39,1078,1057,4947036.37,98.05194805,4680.261466,,,,,
Jul-17,HINCHINBROOK,7,7,97,89,416492.21,91.75257732,4679.687753,,,,,
Jun-12,CENTRAL HIGHLANDS,19,17,414,357,1670523.02,86.23188406,4679.33619,,,,,
Jul-15,LIVINGSTONE,13,11,302,283,1323379.17,93.70860927,4676.251484,,,,,
Jul-16,NOOSA,14,14,516,506,2366131.89,98.0620155,4676.14998,,,,,
Feb-15,GLADSTONE,25,24,659,621,2902746.2,94.23368741,4674.309501,,,,,
Jun-15,MORETON BAY,64,64,3362,3238,15135169.41,96.31171921,4674.233913,,,,,
Sep-15,CAIRNS,44,42,1889,1747,8163982.48,92.48279513,4673.14395,,,,,
Aug-13,ROCKHAMPTON,41,40,1094,1059,4948188.38,96.80073126,4672.510274,,,,,
Feb-08,TOWNSVILLE,50,45,1635,1482,5804342.5,90.64220183,3916.560391,,,,,
Mar-08,TOWNSVILLE,50,45,1635,1482,5675372.36,90.64220183,3829.536005,,,,,
Oct-13,MOUNT ISA,6,6,451,436,2035249.48,96.67405765,4668.003394,,,,,
Apr-08,TOWNSVILLE,50,45,1635,1476,5929197.76,90.27522936,4017.071653,,,,,
Mar-17,REDLAND,28,27,1249,1231,5743912.55,98.55884708,4666.054062,,,,,
May-08,TOWNSVILLE,50,45,1635,1482,6300956.91,90.64220183,4251.657834,,,,,
